chunk_id,label,text
243,negative,"bbbee, going forward. they seek to oppress those who are marginally and historically disadvantaged. we asked the minister, what are your plans when it comes to the bbbee ict sector council? because you seek to disband that council. we are saying you must account and say, unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 67 what measures have you taken? you cannot come here as the da and tell us ... the chairperson ms c labuschagne : hon member, can you please take your seat? there is a point of order. hon christie, did you raise a point of order? ms k a christie: hon chair, is a 32,7 unemployment rate not oppressing the poor? the chairperson ms c labuschagne : can you please lower the noise? i cannot hear the point of order. hon christie, can you repeat your point of order? ms k a christie: chair, may i ask the hon member a question? ms c m phiri: it is a question. it is not a point of order. sit down. the chairperson ms c labuschagne : hon phiri, you did not raise your hand on a point of order. i am not addressing you on the platform. i am addressing hon christie. thank you. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 68 ms k a christie: chair, may i ask hon chauke a question? the chairperson ms c labuschagne : hon chauke, would you take a question? mrs t m chauke-adonis: it was not a point of order. it is a question. i decline to respond to the question, but ... ... if necessary. thank you very much, hon christie."
244,negative,"hon chauke a question? the chairperson ms c labuschagne : hon chauke, would you take a question? mrs t m chauke-adonis: it was not a point of order. it is a question. i decline to respond to the question, but ... ... if necessary. thank you very much, hon christie. as i was saying, the da seeks to undermine progressive legislation and policies that seek to empower our african south african individuals, those who are in smmes and businesses, and those who are emerging in the ict sector. we must say we will not allow this as the anc. we will come and defend the bbbee at all costs. we will never undermine the progress that we have made in the dispensation of our democracy. we must also indicate that we are calling on the minister to finalize the government media buying policy. we have taken a resolution in the portfolio committee on communications and digital technologies that this must be brought forward to the cabinet and the portfolio committee, and this must be done in this financial year. we must understand that not bringing this forward will continue to undermine government beneficiation and ensure that state-owned unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 69 institutions can benefit, but also that we can benefit through smmes and emerging industries. lastly, i must ... isizulu: ... malibongwe! uzoyithola kanjani uhleli ekhoneni? the minister in the presidency: hon chair, indeed, listening is a skill. i spoke about the appointment of the director general, dg, that has to be processed by the department of public service and administration and go to cabinet. all of you did not hear that. you were then still talking about it. that's why i"
245,negative,"chair, indeed, listening is a skill. i spoke about the appointment of the director general, dg, that has to be processed by the department of public service and administration and go to cabinet. all of you did not hear that. you were then still talking about it. that's why i thanked the acting director-general. let me start where i need to start. the partner in the government of national unity, gnu, wants us to move the government communication and information system, gcis, to the department of communications and digital technologies. the pa and the ifp are complaining about data and inaccessibility of the digital divide. the digital divide is continuing because a minister responsible for the department of communications and digital technologies has not taken forward the deployment of community internet access, which we started when i was the unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 70 minister there. also, the minister of the department of communications and digital technologies has not taken forward the reduction of cost of data which i started when i was minister in that portfolio. taking gcis to that portfolio: is it going to be run by artificial intelligence, ai? i just needed to clarify that part. we appreciate your support, hon bodlani. hon singh, a minister is not a post box. when allegations are made against a member of a board, the minister needs to apply her mind and do the necessary consultations. that is why it took time. if you look at the veracity of the allegations, i needed to satisfy myself if those allegations are sound and would stand the test of time when we submit them to parliament and the portfolio committee for processing. therefore, you cannot"
246,positive,"the necessary consultations. that is why it took time. if you look at the veracity of the allegations, i needed to satisfy myself if those allegations are sound and would stand the test of time when we submit them to parliament and the portfolio committee for processing. therefore, you cannot come here and say we are incompetent and we have not done anything to address the issues. we are very competent and that's why we have processed the matters the way we have processed them. when you choose only one issue at the media development and diversity agency, mdda, the question is: why are you not supporting the initiatives of the mdda in supporting unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 71 community-based media? they are targeting the number and they are targeting ... but because of the funding issue. and it is not the first one that they are doing. this is an accumulation of the number of what they are doing. we have 356 community based media. out of that number, we have already serviced more than 200 to support them migrate into digital infrastructure. we cannot be selective in wanting to criticise the work we are doing. if members are genuine about the budget and the underfunding of the gcis and its entities, members were informed by the chairperson of the appropriations committee that they can make a submission within 10 days from this vote and make sure that the funding is increased. that provision is there in the law. we appreciate the support from the pa. we also appreciate the support from the ifp. we will continue to demand from cabinet that our colleagues come with a proposal of reducing data. indeed,"
247,positive,"this vote and make sure that the funding is increased. that provision is there in the law. we appreciate the support from the pa. we also appreciate the support from the ifp. we will continue to demand from cabinet that our colleagues come with a proposal of reducing data. indeed, the cost of data must fall and he make sure that he accelerates digital inclusivity and bridge the digital divide by including community hotspots for wi-fi so that our people can be able to access facilities. it is not because they want to access communication, but because they need to access other unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 72 services that are there in government through online capabilities. the imbizos are done by the department of co operative governance and traditional affairs. or maybe it is a pity. yes, hon gcilishe, you are back. i think we need to fact check your things. you said gcis do not communicate. it was not an alleged king. they said they were installing a king and they backtracked. in that communication, because we co ordinate a system, the deputy minister of traditional affairs, the hon rev burns ncamashe was there communicating and interacting in that community to make sure that those matters ... because we cannot be undermined in our own country. that's why the nigerian government also apologised. when we talk about xenophobia, we need to talk about immigration. is immigration not a challenge? it is a challenge and we must have a fair discussion on why people are trending southwards. why are they running away from their own countries? we say: who are here legally? legally, you have 55 000 refugees and you have 82 000"
248,neutral,"about immigration. is immigration not a challenge? it is a challenge and we must have a fair discussion on why people are trending southwards. why are they running away from their own countries? we say: who are here legally? legally, you have 55 000 refugees and you have 82 000 asylumseekers. that number would not create a problem in south africa because they are legally in. home affairs has received and approved 1,3 million unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 73 people to come in but we have, in terms of statistics sa, data that is above. that is why we are strengthening our work to make sure that our borders are safe and that law enforcement takes its responsibility of making sure that those who are in the country illegally and undocumented, are deported back to their home countries. but we cannot allow anyone who is not a law enforcement to come and say, we want your passport, we want your ... we cannot allow the mobilisations that want to destabilise the country, that wants to use an excuse of attacking other people on the basis of saying we are dealing with illegal immigration. by the way, the people that are being attacked are not only undocumented foreigners. they are attacking even people who don't speak a particular language the people who speak xitsonga and people who speak tshivenda. it is a problem, and we are dealing with it. we should not be inconvenienced. there is illegal immigration challenge in south africa, and we are seized with dealing with it. we have put the white papers. there are employers who continuously not want to employ south africans and in the unrevised hansard mini plenary"
249,neutral,"we are dealing with it. we should not be inconvenienced. there is illegal immigration challenge in south africa, and we are seized with dealing with it. we have put the white papers. there are employers who continuously not want to employ south africans and in the unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 4 - government communications and information system page: 74 convenience of employing non-south africans and create tensions to us. talking of corruption, it's us who have instituted measures to deal with corruption, including the very madlanga commission. vho manyi, you spoke about load reduction. you said we won t sort out load shedding. we have sorted out load shedding. now you want to use load reduction. we have given a commitment that seven provinces will be rid of load reduction by december 2026, and three by march 2027. and we are going to deliver on that. thank you, members. xitsonga: ndza khensa. tshivenda: ndo livhuwa. debate concluded the mini plenary rose at 18:27."
250,positive,"unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 1 wednesday, 19 may 2026 ____ proceedings of mini-plenary session - national assembly chamber ____ members of the mini-plenary session met at good hope chamber at 16:45. house chairperson mr w horn took the chair and requested members to observe a moment of silence for prayers or meditation. appropriation bill debate on vote no 31 employment and labour: the minister of employment and labour: hon chairperson and hon members, deputy ministers, acting director-general, deputy directors-general of our department, chairpersons and ceos of our entities, our national and international social partners, my guests watching from the viewing venue, fellow south unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 2 africans, we table this budget vote of the department of employment and labour at a moment of both difficulty and determination for our country. the latest statistics sa report reminds us of a reality that south africa s economic recovery is not translating into jobs. while there are signs of stabilisation in the economy, including improvements in the electricity supply, moderating inflation, renewed infrastructure investment and growing investor confidence, millions of south africans still wake up every morning without work, without income and without certainty about tomorrow. the survey highlights the continued fragility of south africa s labour market recovery after declining from 33,2 in the third quarter of 2025 to 31,4 in the fourth quarter. the official unemployment rate rose again by 1,3 percentage points to 32,7 in the first quarter of 2026, leaving more than 8 million south africans unemployed. the crisis confronting young people between the ages of 15 and 34 is that unemployment remains critically high at nearly 46 ,"
251,positive,"fourth quarter. the official unemployment rate rose again by 1,3 percentage points to 32,7 in the first quarter of 2026, leaving more than 8 million south africans unemployed. the crisis confronting young people between the ages of 15 and 34 is that unemployment remains critically high at nearly 46 , underscoring the urgent need for accelerated economic growth, targeted labour market interventions and large-scale youth employment opportunities. in 1976, the youth of south africa rose against exclusion and the denial of opportunity. as we unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 3 honour their sacrifice, we have declared 2026 as the year of putting young south africans to work in honour of the 1976 youth and commemoration of the youth uprising called the jubilee. this is a national commitment to place youth unemployment skills, workplace experience and economic participation at the centre of government, business and society. to deepen these interventions, r350 million has been committed to the government and business partnership, working with the presidency and the national pathway management network to place 130 000 young people into learning opportunities, work exposure programmes and employment interventions. in addition, r95 million has been committed to the industrial development corporation, idc, to support youth employment innovation project aimed at placing 7 000 young people into productive economic activity. through the labour activation programme, lab, we are repositioning and repurposing our interventions to respond more effectively to south africa s deepening unemployment crisis and to connect unemployed south africans to real economic opportunities. the review of the lab strategy is now unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 4 centred on three focus pillars aimed at improving labour market absorption,"
252,positive,"unemployment crisis and to connect unemployed south africans to real economic opportunities. the review of the lab strategy is now unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 4 centred on three focus pillars aimed at improving labour market absorption, strengthening workplace experience and supporting enterprise-led job creation. the first pillar focuses on demand-led skills development aligned to needs of the labour market, working in partnership with business, public entities and training institutions. we are ensuring that training programmes are directed towards scarce and critical skills that are required by the economy and that improve the prospects of employment absorption. the second pillar prioritises the placement of graduates, technical and vocational education and training, tvet, students and learners from higher education and training institutions into internships and work-integrated learning opportunities so that they can complete their qualifications and gain workplace exposure necessary to enter the labour market. this will include the placement of 20 000 tvet students on work-integrated learning, chartered financial analysts, chartered accountants, professional technicians and engineers, law students and health inspectors. in addition, we will train 10 000 youth on digital skills and 10 000 for driver s licence. through partnerships with unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 5 employers and training institutions, we are strengthening pathways from learning into work. the third pillar focuses on intervention support for micro, small and medium enterprises through blended finance mechanisms aimed at stimulating economic activity, supporting business growth and expanding job creation. through these targeted interventions, the lab is being reshaped into a more responsive instrument for employment creation, economic inclusion and sustainable livelihoods. through targeted labour market interventions, government will recruit 200 000 unemployed people in"
253,neutral,"blended finance mechanisms aimed at stimulating economic activity, supporting business growth and expanding job creation. through these targeted interventions, the lab is being reshaped into a more responsive instrument for employment creation, economic inclusion and sustainable livelihoods. through targeted labour market interventions, government will recruit 200 000 unemployed people in the current financial year alone, contributing to a total of 605 000 beneficiaries over the medium-term expenditure framework, mtef. importantly, 70 of all opportunities will be directed towards the youth, reflecting a deliberate commitment to address the plight of unemployed young people. the department of employment and labour has been allocated r4,5 billion, representing a 10,2 increase from the previous year. of this amount, the department of employment and labour will be contributing more than r100 million to critical ict infrastructure. thirty-six point six billion rand over the unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 6 mtef has been set aside for the labour activation programme. we call on all the employers to partner with us and open opportunities to place these young south africans to either complete their studies or first-time work experience through internships. for the 2026-27 financial year, the department of employment and labour has been allocated r4,5 billion as i have said, as part of building the enforcement capacity. we launched the phased implementation of project 20 000 inspector-interns, a historic expansion of labour inspectorate aimed at strengthening the frontline presence of the department of employment and labour across the country. the first phase of the 10 000 inspector-interns commenced during 2025-26 financial year. by the end of april 2026, approximately 3 800 young interns had already entered training and deployment processes. a further 3 500 will start end of may, while 2 700 will"
254,neutral,"employment and labour across the country. the first phase of the 10 000 inspector-interns commenced during 2025-26 financial year. by the end of april 2026, approximately 3 800 young interns had already entered training and deployment processes. a further 3 500 will start end of may, while 2 700 will start by end of june. these young recruits are the new boots on the ground in the fight against labour exploitation, non-compliance and workplace injustices. project 20 000 gained further momentum - you rather listen so that you can report to your commander-in-chief, cic. project 20 000 gained further momentum following the announcement of unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 7 the appointment of the 10 000 permanent labour inspectors by president cyril ramaphosa in the 2026 sona. listen, the department will start with the recruitment of these permanent inspectors. instead of recruiting the remaining 10 000 interns, we have set aside r5 billion for the mtef period for this programme. we plan to modernise labour inspection systems through hybrid inspections that leverage digitisation and smart technology to improve and strengthen compliance monitoring across workplaces. public employment services is a frontline instrument in the fight against unemployment, where millions of work seekers face exclusion, not only because of the shortage of jobs, but because of distance, cost information barriers and fragmented systems. access itself becomes a matter of justice. again, the the hon member of the eff must listen here. that is why we are strengthening employment services. south africa is a system that is expanding online and labour centre-based services and harmonising systems with national pathway management network to ensure that unemployed south africans are connected to jobs, training, counselling and support with greater speed, reach and"
255,positive,"listen here. that is why we are strengthening employment services. south africa is a system that is expanding online and labour centre-based services and harmonising systems with national pathway management network to ensure that unemployed south africans are connected to jobs, training, counselling and support with greater speed, reach and fairness. employers are now able to access the unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 8 system directly and match with unemployed work seekers, whether they require chefs, waiters, drivers, plumbers, artisans, etc. employment services of south africa, essa, can be accessed via www.labour.gov.za and click on essa under online services tab. through essa, the department has built the largest government work seekers database in the country. as part of advancing more coherent and impactful public employment programme, i have approved the progression of the public employment programme review report to the director-general s clusters and cabinet processes. the report is informed by the need to strengthen co ordination, planning and implementation of approximately 106 public employment programmes introduced since 1994. upon completion of the approval processes, the report will be released for public comment as part of advancing a more coherent and impactful public employment programme framework. three hundred and fifty million rand has been set aside for government and business partnership working with the presidency to the national pathways management network to unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 9 place 130 000 young people into learning opportunities, work exposure, programmes and employment interventions. in addition, r95 million has been committed to the idc for youth employment innovation project aimed at placing 7 000 young people into productive economy. through targeted labour market interventions, government will"
256,negative,"and labour page: 9 place 130 000 young people into learning opportunities, work exposure, programmes and employment interventions. in addition, r95 million has been committed to the idc for youth employment innovation project aimed at placing 7 000 young people into productive economy. through targeted labour market interventions, government will recruit 200 000. i am repeating that - it is part of the programme that we are doing. one of the interventions supported through this programme has been teacher assistant programme. during the 2025-26 financial year, the teacher assistant programme had recruited 158 000 young south africans and we had budgeted or funded this programme with r4 billion. through the network processes, the labour laws amendment bill proposes critical reforms of the labour relations act, basic conditions of employment act, national minimum wage act and employment equity act. these changes are aimed at strengthening worker protection, improving dispute resolutions, reducing unnecessary compliance patterns for small businesses and aligning legislation and with the constitutional court and labour court judgments. the unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 10 progress is already measurable. the labour law amendment bill was approved by cabinet, and we are expecting that this process be undertaken through the process of submitting to parliament as we have received submissions about 216 which we are busy processing. since the introduction of the national minimum wage, it has benefited estimated 6 million workers. following the promulgation of the employment equity act and introduction of sectoral numerical targets on 1 january 2025, more than 14 000 designated employers submitted employment equity reports while over 11 000 non-designated employers applied for compliance certificate. in 2025-26 the department is targeting 3 324 employment equity inspections. it was targeting those including director-general s"
257,neutral,"equity act and introduction of sectoral numerical targets on 1 january 2025, more than 14 000 designated employers submitted employment equity reports while over 11 000 non-designated employers applied for compliance certificate. in 2025-26 the department is targeting 3 324 employment equity inspections. it was targeting those including director-general s reviews, reassessments and monitoring interventions. a total of only 9 of the 1 900 companies that were inspected by our department only complied - only 9 , which is 181. for the 2026-27, the unemployment insurance fund has been budgeted for r41 billion. during the 2025-26 financial year, uif true-tel has supported 30 companies with approximately r295 million saving more than 9 300 jobs. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 11 we are not satisfied with this performance. we shall make sure that we put more systems in place to spend the r2,4 billion that we have budgeted for temporary employer-employee relief scheme, ters, this financial year. the labour activation programme is allocated again a budget of 36,6 billion over the mtf. the compensation fund is r28 billion and r300 million is spent on a bursary programme that currently supports 4 000 students in scarce skills. the sheltered employment enterprises, see, is the only state manufacturing entity whose core mandate is large-scale employment of persons with disability. i therefore urge all ministers, premiers, mecs, mayors and all leaders across government to actively approach the national treasury to seek for an exemption that will enable them to procure from supported employment enterprises. whether you are looking for furniture, office furniture, school furniture, hospital linen, bedding, protective clothing or institutional textiles, government must use its own procurement muscle to support this entity of our government. the national economic development and"
258,positive,"for an exemption that will enable them to procure from supported employment enterprises. whether you are looking for furniture, office furniture, school furniture, hospital linen, bedding, protective clothing or institutional textiles, government must use its own procurement muscle to support this entity of our government. the national economic development and labour council, nedlac, continues to demonstrate the strategic importance for social competing in the democracy such as ours. during 2025-26, they facilitated extensive engagements on labour law reforms. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 12 productivity sa is being repositioned as a strategic delivery of productivity-driven growth, enterprise sustainability, and job retention, particularly for small, medium, and micro enterprises, smmes. in the current financial year, productivity sa aims to support more than 1,300 enterprises, capacitated 2 500 workers, developed 350 productivity champions. the commission for conciliation, mediation and arbitration, ccma, is increasingly becoming a proactive institution focused on conflict prevention. in conclusion, in a constrained fiscal environment, this budget reflects a deliberate choice of directing resources where they can make the greatest impact in jobs. i therefore present to this house budget vote 31 as a statement of national purpose to build a labour market and an economy that works for all our people. i appreciate the support of the deputy ministers, members of the portfolio committee on employment and labour, my special advisers, the director general and the entire department of employment and labour family executives and the entire team in my office who spent sleepless nights contributing to the finalisation of this budget vote. it is only an abridged budget vote. the speech unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 13 will be available on"
259,positive,"the entire team in my office who spent sleepless nights contributing to the finalisation of this budget vote. it is only an abridged budget vote. the speech unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 13 will be available on the website, both of parliament and my department. thank you very much, hon chair. mr b m maneli: hon house chairperson, hon minister, hon deputy ministers, hon members of the portfolio committee of employment and labor, esteemed members of parliament, colleagues and guests, today i rise to reflect on the budget allocation for the department and its entities with a particular focus on the strategic role of the compensation fund, the cf, and the unemployment insurance fund, the uif, in our nation's aspirations to drive state-led reindustrialisation through employment integration. this budget vote comes at a critical juncture when south africa faces skyrocketing unemployment rates that threaten the very fabric of our socioeconomic stability. it is therefore imperative that we harness the full potential of these two pivotal funds, not only as social protection mechanisms, but as dynamic drivers of sustainable job creation and economic transformation. this, to us as the anc, is about the people's needs first, economic transformation first, and no retreat as we advance a better life for all agenda. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 14 the cf and the uif have long served as critical pillars in supporting worker stability and productivity. their core mandate to provide income support to workers during periods of unemployment or work-related injury is fundamental to social justice and equity. however, as we confront an evolving labour market and the urgent call for economic revival, these funds must"
260,positive,"as critical pillars in supporting worker stability and productivity. their core mandate to provide income support to workers during periods of unemployment or work-related injury is fundamental to social justice and equity. however, as we confront an evolving labour market and the urgent call for economic revival, these funds must be more than safety nets, they must become engines of empowerment, inclusivity, and growth. this is because the entities have got capacity, particularly uif, to create mass employment as it has proven that it has got capacity through over 158 000 job placements in the form of teaching assistants. once more, ours is about people's needs first, economic transformation first, and no retreat. our call as the anc to strengthen social protection framework is not simply about preserving the status quo but about ensuring that workers can participate productively in the economy with dignity and security. by supporting workers stability, we cultivate a workforce ready and able to contribute to reindustrialisation imperative. this is particularly significant as we aim to revive manufacturing sectors, stimulate industrial unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 15 productivity, and create decent jobs aligned with south africa's industrial policies. an essential focus area in this journey is enhancing claims management efficiency within both funds. currently, service delivery delays undermine labour market confidence and the lives of countless workers depending on timely benefits. by modernising our ict infrastructure and streamlining benefit administration, we can significantly reduce turnaround time and improve user experience. this digital transformation will also allow us to monitor claim trends better, manage risks proactively, and foster transparency and accountability, which are key ingredients for restoring public trust and ensuring fund sustainability. vocational rehabilitation and return to work programmes represent another strategic value"
261,neutral,"reduce turnaround time and improve user experience. this digital transformation will also allow us to monitor claim trends better, manage risks proactively, and foster transparency and accountability, which are key ingredients for restoring public trust and ensuring fund sustainability. vocational rehabilitation and return to work programmes represent another strategic value to facilitate workforce reintegration. far too often, workers who suffer workplace injuries or who are displaced by technological and economic shifts find themselves sidelined without necessary support to regain their livelihoods. investing in tailored rehabilitation services and creating pathways back into employment directly address this challenge. moreover, such initiatives align with unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 16 our broader industrial policies by ensuring an adaptive and resilient workforce ready to meet the demands of modern industries. prioritising labour activation programmes that target vulnerable groups such as youth, women, and people living with disabilities reflects our commitment to inclusive growth. these groups have historically borne the brand of unemployment and marginalisation. dedicated interventions to upskill, activate, and integrate these populations into the workforce are fundamental to correcting structural inequities. the funds through these targeted programmes will act as catalysts, not only for the improved individual livelihoods, but for broader social cohesion and national economic recovery. therefore, the reposition process of these funds is a vital step in embedding the employment component within their strategies. this is more than an administrative adjustment. it is a paradigm shift that directly links social protection with active job creation efforts. by aligning their programmed initiatives with national industrial policy, the cf and uif unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 17 become proactive partners in economic development, not merely reactive entities"
262,neutral,"links social protection with active job creation efforts. by aligning their programmed initiatives with national industrial policy, the cf and uif unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 17 become proactive partners in economic development, not merely reactive entities responding to labour market failures. supporting small enterprises, particularly through township supply development, is a primary example of this forward looking approach. small and medium enterprises serve as engines of job creation, innovation, and inclusive economic development. the funds' proactive investment in these enterprises ensures that employment opportunities are generated locally, especially in historically underserved areas. this approach is tailored to building sustainable livelihoods and reducing reliance on large urban centers alone, thus facilitating more balanced regional development. building institutional capacity, closing skills gaps among staff, and advancing fraud prevention and financial oversight are non negotiable pillars that safeguard the funds' sustainability and public trust. in the face of increasing complexity and demand, the funds must operate with operational excellence and integrity. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 18 where fraud and corruption occurred during covid, temporary employee-employer relief scheme, ters, law enforcement agencies, and courts built and strengthened by the anc-led government since 1994 have been hard at work. the system works, and the system is delivering. robust governance structures ensure that resources are utilised optimally and that the funds can respond dynamically to emerging challenges in the labour market and in the economy. expanding employer engagement and compliance mechanisms supports the formalisation of businesses and job creation. informal employment remains a significant barrier to labour market stability by encouraging voluntary compliance and formal integration of business into the social protection system. we can broaden the tax"
263,neutral,"the labour market and in the economy. expanding employer engagement and compliance mechanisms supports the formalisation of businesses and job creation. informal employment remains a significant barrier to labour market stability by encouraging voluntary compliance and formal integration of business into the social protection system. we can broaden the tax base, enhance labour standards, and foster inclusive economic growth. the significance of these funds in driving state-led reindustrialisation cannot be overstated. the south african economy requires a coordinated, multifaceted strategy where employment generation is intricately linked with industrial policy. the active integration of these funds in this strategy provides a dual benefit. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 19 on the one hand, it ensures social protection, reaches workers efficiently. on the other, it leverages this system to stimulate job creation in priority sectors. this integrated approach effectively positions the funds as catalysts and enablers of industrial revitalisation, helping transform economic sectors in ways that create sustainable, decent employment opportunities. the repositioning process is also symbolic of the department of employment and labour's broad commitment to confront the unemployment crisis head-on. by embedding employment components within the operational frameworks of the cf and the uif, the department asserts a direct role in tackling this challenge. this signals a decisive break from fragmented interventions towards a more strategic, coordinated, and impactful response. in conclusion, hon house chairpersons and colleagues, the proposed budget vote 31 provides a robust foundation upon which we can build a more resilient and inclusive labour market. the strategic refocusing of the cf and the uif as dynamic vehicles to stimulate employment and economic transformation is visionary and necessary. the modernisation unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment"
264,negative,"which we can build a more resilient and inclusive labour market. the strategic refocusing of the cf and the uif as dynamic vehicles to stimulate employment and economic transformation is visionary and necessary. the modernisation unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 20 of the ict systems, investment in vocational rehabilitation, targeted labour activation programme for vulnerable groups, support for small enterprises, and strong governance frameworks collectively represent a comprehensive package designed to tackle unemployment while fostering economic growth. i urge, therefore, this house to support the proposed budget allocations and strategic priorities outlined today. doing so will enable the department to fortify social protection while simultaneously driving meaningful job creation, which are key to our collective pursuit of a prosperous, inclusive south african economy. let us seize this opportunity to champion policies that do not only protect but empower workers, invigorate our industries, and uplift communities across our nation. as anc, we support this budget allocation, and i thank you, house chair. ms n h mbele: hon house chair ... isizulu: unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 21 okokuqala nje ngicela ukubingelela unxamalala umongameli wale nhlangano, asikwazi ukukuphikisa kodwa lokho. english: today we stand at the crossroads, and i rise not to applaud this budget but to expose it for what it truly is, a betrayal of unemployed, a betrayal of our youth and a betrayal of the promise made to the public of south africa. the department of employment and labour presents us with glossy figures and hollow targets, they parade number of registrations, inspections and transfers, but behind this statistics lies a grim reality. unemployment has risen to 32,7 in the first quarter of"
265,negative,"of the promise made to the public of south africa. the department of employment and labour presents us with glossy figures and hollow targets, they parade number of registrations, inspections and transfers, but behind this statistics lies a grim reality. unemployment has risen to 32,7 in the first quarter of 2026, with youth unemployment now exceeding 60 for ages 15 to 24. this is not progress, it is a collapse. the president stood before the nation and promised jobs. he announced that 10 000 inspectors would be employed under the labour activation programme; that was a lie. the budget before us today confirms it. not a single cent has been allocated for those inspectors. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 22 i m talking about sustainable employment. instead, we are told to accept the stipends, expanded public works programmes, epwps, placement and temporary relief schemes as jobs. these are not jobs, these are crumbs. they are unsustainable, short term and designed to pacify the poor while billions are wasted. let us interrogate the numbers. out of a total budget of r4,5 billion, 52 is swallowed by the current payments, salaries and operations; 45 is poured into transfers and subsidies outsourced to entities riddled with government failures; and a shameful 2,8 is left for capital expenditure, the very investment needed for modernisation, digital transformation and future capabilities. this is not a budget for development, it is a budget for the maintenance of bureaucracy and sustainable inefficiency, it is a budget that entrenches poverty instead of breaking it. the labour activation programme, which should be a lifeline, has become a cesspool of corruption and incompetence. billions are dispersed to contractors without due diligence, without accountability and without results. unrevised hansard"
266,negative,"the maintenance of bureaucracy and sustainable inefficiency, it is a budget that entrenches poverty instead of breaking it. the labour activation programme, which should be a lifeline, has become a cesspool of corruption and incompetence. billions are dispersed to contractors without due diligence, without accountability and without results. unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 23 we have demanded a forensic investigation into the fraudulent tenders like diphetogo security. we have demanded transparency, yet, the department remains silent, shielding cronies, while communities starve. hon members, this government has perfected the art of deception. they promise jobs but delivers stipends, they promise inspectors but delivers nothing, they promise transformation but delivers corruption. even the president himself has proven untrustworthy, making announcements that are not backed by the budget, misleading parliament and misleading the nation. and let us not forget the covid relief funds. companies lined up to benefit from billions in relief, yet, they have not accounted for a single sustainable job creation. they have not shown how those funds were used to grow business and protect workers. meanwhile, informal traders, the backbone of our township and rural economies, the biggest contributors to employment, were left abandoned. they received no relief, no support, and to unrevised hansard mini plenary - national assembly tuesday, 19 may 2026 vote no 31 employment and labour page: 24 this day, they remain in dire strains, still feeling the devastating effects of covid. it is a tragedy that those who carry the economy on their backs are denied growth and development, while politically connected companies pocket relief funds without accountability. we demand transparency. we demand records. we demand proof on how these billions were spent and how they will solve the unemployment crisis. without accountability,"
